Area,mnemonic,2016,2017,2018,2019,2020,2021,2022
ualad19:Doncaster,E08000017,306137,307058,308237,308438,308185,308697,311027
ualad19:Rotherham,E08000018,263273,264167,265154,265991,265593,266173,268354
ualad19:Sheffield,E08000019,556599,555675,556771,556399,555036,555035,566242
ualad19:Bradford,E08000032,538178,540447,542542,545966,547141,546839,552644
ualad19:Calderdale,E08000033,207744,207459,207215,207729,206976,206828,207699
ualad19:Kirklees,E08000034,432588,433393,433571,433259,432878,433458,437593
ualad19:Leeds,E08000035,786739,793134,797696,804640,808443,809479,822483
ualad19:Wakefield,E08000036,337365,340749,344437,348201,350978,353803,357729
ualad19:Derby,E06000015,259883,261104,262395,263014,261999,261260,263490
ualad19:Leicester,E06000016,356789,361895,367094,369776,368922,366940,373399
ualad19:Nottingham,E06000018,317625,320378,322323,323160,322822,319978,328513
ualad19:Rutland,E06000017,39044,39831,40053,40175,40633,41342,41151
ualad19:Amber Valley,E07000032,123411,124225,124804,125791,125953,126442,126944
ualad19:Bolsover,E07000033,77870,78444,78566,79178,79647,80473,81553
ualad19:Chesterfield,E07000034,104347,104236,104056,104154,103761,103673,104110
ualad19:Derbyshire Dales,E07000035,70883,71092,71130,71190,70972,71659,71752
ualad19:Erewash,E07000036,114249,114129,114181,113711,113348,113039,113080
ualad19:High Peak,E07000037,90812,90991,90895,91170,90909,91079,91109
ualad19:North East Derbyshire,E07000038,99755,99897,100100,100371,100978,102294,103783
ualad19:South Derbyshire,E07000039,98630,99868,101194,103315,105265,108051,111133
ualad19:Blaby,E07000129,98014,99366,100767,101777,102293,103271,104182
ualad19:Charnwood,E07000130,174625,176997,179191,180988,182108,182906,184748
ualad19:Harborough,E07000131,90610,91718,92648,93661,95288,98254,100481
ualad19:Hinckley and Bosworth,E07000132,109920,111431,112245,112688,113051,113653,114298
ualad19:Melton,E07000133,51146,51113,51331,51470,51583,51756,52433
ualad19:North West Leicestershire,E07000134,97729,99315,101195,102461,103344,105004,107672
ualad19:Oadby and Wigston,E07000135,56044,57516,57713,57772,57869,57788,58341
ualad19:Boston,E07000136,68589,69673,70132,70226,70181,70815,70806
ualad19:East Lindsey,E07000137,138488,140072,141073,142039,141665,142916,144415
ualad19:Lincoln,E07000138,100679,102241,103212,103604,103531,102411,102545
ualad19:North Kesteven,E07000139,113063,114423,114860,115821,117057,118502,119709
ualad19:South Holland,E07000140,91970,92587,92964,93467,94029,95490,96983
ualad19:South Kesteven,E07000141,140409,141116,141616,142212,142869,143751,144249
ualad19:West Lindsey,E07000142,92943,92919,93424,93894,94278,95555,96817
ualad19:Corby,E07000150,-,-,-,-,-,-,-
ualad19:Daventry,E07000151,-,-,-,-,-,-,-
ualad19:East Northamptonshire,E07000152,-,-,-,-,-,-,-
ualad19:Kettering,E07000153,-,-,-,-,-,-,-
ualad19:Northampton,E07000154,-,-,-,-,-,-,-
ualad19:South Northamptonshire,E07000155,-,-,-,-,-,-,-
ualad19:Wellingborough,E07000156,-,-,-,-,-,-,-
ualad19:Ashfield,E07000170,123989,125410,126076,126521,126687,126356,127179
ualad19:Bassetlaw,E07000171,114879,115757,116212,116485,117068,118327,120012
ualad19:Broxtowe,E07000172,110346,110573,110937,111257,111397,110796,112113
ualad19:Gedling,E07000173,116418,116451,117092,117129,117141,117291,117730
ualad19:Mansfield,E07000174,108952,109461,109946,110237,109964,110592,111117
ualad19:Newark and Sherwood,E07000175,119388,120455,121025,121624,121831,123352,125089
ualad19:Rushcliffe,E07000176,113450,114226,115461,116647,118030,119418,121582
"ualad19:Herefordshire, County of",E06000019,186225,186687,186511,186373,185886,187522,188719
ualad19:Shropshire,E06000051,312836,315232,317112,319729,321054,324669,327178
ualad19:Stoke-on-Trent,E06000021,256168,258235,258843,259181,258866,258102,259965
ualad19:Telford and Wrekin,E06000020,175352,177528,179548,182081,183483,185857,188871
ualad19:Cannock Chase,E07000192,97312,97693,98553,98983,99565,100595,101140
ualad19:East Staffordshire,E07000193,118986,119782,120861,122052,123096,124486,125760
ualad19:Lichfield,E07000194,102624,102975,103163,104179,105008,106883,108352
ualad19:Newcastle-under-Lyme,E07000195,125367,125303,125755,125075,124567,123039,125297
ualad19:South Staffordshire,E07000196,109814,110302,110338,110478,110243,110787,111527
ualad19:Stafford,E07000197,132507,133199,134069,135286,135685,137201,138670
ualad19:Staffordshire Moorlands,E07000198,96932,96947,96591,96366,95955,95975,95899
ualad19:Tamworth,E07000199,77688,77327,77480,77698,77968,78842,79639
ualad19:North Warwickshire,E07000218,62908,63517,64098,64383,64271,65338,65946
ualad19:Nuneaton and Bedworth,E07000219,129899,131138,131830,132953,133688,134303,135481
ualad19:Rugby,E07000220,107555,108671,109418,110998,112672,114835,116436
ualad19:Stratford-on-Avon,E07000221,123729,125624,127565,129816,131979,135946,138583
ualad19:Warwick,E07000222,142534,143353,145478,146005,146643,148693,151158
ualad19:Birmingham,E08000025,1131271,1139893,1146050,1150646,1148692,1143285,1157603
ualad19:Coventry,E08000026,337064,340034,342811,343715,344702,344151,355600
ualad19:Dudley,E08000027,317669,319539,320989,322090,322513,323591,324969
ualad19:Sandwell,E08000028,330051,333826,336977,340198,341436,341895,344210
ualad19:Solihull,E08000029,213061,214330,214901,216323,216432,216677,217678
ualad19:Walsall,E08000030,278429,281229,282921,284600,284578,284392,286105
ualad19:Wolverhampton,E08000031,258305,260648,262474,263519,263123,264260,267651
ualad19:Bromsgrove,E07000234,96254,96703,97315,98339,98837,99449,100076
ualad19:Malvern Hills,E07000235,76391,76696,77362,77872,78288,79969,81024
ualad19:Redditch,E07000236,86432,86463,86186,86307,86561,86981,87132
ualad19:Worcester,E07000237,104696,105321,105303,105137,104399,103628,104120
ualad19:Wychavon,E07000238,123632,125694,127335,129003,130419,133084,134536
ualad19:Wyre Forest,E07000239,100557,101163,101491,101592,101315,101791,102328
ualad19:Bedford,E06000055,173703,175537,178288,180651,182346,185796,187466
ualad19:Central Bedfordshire,E06000056,274909,277655,280414,284688,289105,295651,301501
ualad19:Luton,E06000032,220952,220752,221532,223106,224132,224958,226973
ualad19:Peterborough,E06000031,205091,208237,211037,213026,213718,216470,217705
ualad19:Southend-on-Sea,E06000033,180465,181405,181877,182115,181276,180655,180915
ualad19:Thurrock,E06000034,168977,170966,173113,174924,175803,175933,176877
ualad19:Cambridge,E07000008,136054,138462,141726,143153,143741,145022,146995
ualad19:East Cambridgeshire,E07000009,86952,87016,86885,87010,86948,88125,89394
ualad19:Fenland,E07000010,101075,102029,102346,102487,102228,102731,103035
ualad19:Huntingdonshire,E07000011,176425,176743,176909,176968,177816,181827,184052
ualad19:South Cambridgeshire,E07000012,156780,157215,157810,159031,160548,163042,165633
ualad19:Basildon,E07000066,184651,185299,186668,187714,187796,187718,188848
ualad19:Braintree,E07000067,151848,152422,152353,153439,154107,155693,157681
ualad19:Brentwood,E07000068,77163,76950,76854,77231,77339,77111,77332
ualad19:Castle Point,E07000069,89390,89275,89341,89619,89782,89712,89731
ualad19:Chelmsford,E07000070,175137,177102,178017,179882,180488,181827,183326
ualad19:Colchester,E07000071,185361,187177,189101,190470,191979,192658,194394
ualad19:Epping Forest,E07000072,131587,132376,133373,134206,134569,134941,134989
ualad19:Harlow,E07000073,88913,89824,90695,91952,92415,93428,94409
ualad19:Maldon,E07000074,63319,63743,64015,64481,65090,66611,67554
ualad19:Rochford,E07000075,84568,84672,85129,85290,85213,86181,87216
ualad19:Tendring,E07000076,143023,144323,145128,145696,146255,148925,151451
ualad19:Uttlesford,E07000077,85565,86511,87711,89361,90482,91921,92578
ualad19:Broxbourne,E07000095,98153,98096,98317,98869,99311,99142,99103
ualad19:Dacorum,E07000096,152462,153282,153982,154367,154815,155211,156123
ualad19:East Hertfordshire,E07000242,144801,145743,146048,147335,149027,150662,151635
ualad19:Hertsmere,E07000098,105372,105920,106458,107234,107612,108129,108106
ualad19:North Hertfordshire,E07000099,133103,133629,133283,133195,133054,133583,134159
ualad19:St Albans,E07000240,147823,147596,147552,148058,148555,148624,148358
ualad19:Stevenage,E07000243,88466,89099,89310,89541,89755,89360,89737
ualad19:Three Rivers,E07000102,92959,93075,93209,93443,93795,93934,94123
ualad19:Watford,E07000103,100458,100957,101658,102172,102322,102507,103031
ualad19:Welwyn Hatfield,E07000241,116637,117617,118365,119180,119806,119747,120213
ualad19:Breckland,E07000143,137190,138592,139146,139523,140408,142160,143479
ualad19:Broadland,E07000144,126642,127708,128674,129721,130760,132238,133872
ualad19:Great Yarmouth,E07000145,99471,100181,100343,100448,99851,100179,99862
ualad19:King's Lynn and West Norfolk,E07000146,152867,153666,153451,153332,153023,154920,155741
ualad19:North Norfolk,E07000147,102176,102718,102523,102509,102064,103239,103227
ualad19:Norwich,E07000148,141332,142110,143830,143300,143935,143217,144525
ualad19:South Norfolk,E07000149,131472,133573,135560,138131,139842,142509,144593
ualad19:Babergh,E07000200,89584,89918,90456,90917,91491,92724,94277
ualad19:Ipswich,E07000202,141245,141922,141643,140809,139889,139638,139247
ualad19:East Suffolk,E07000244,241807,243496,244313,245052,245482,246776,247080
ualad19:Mid Suffolk,E07000203,98731,99263,99744,100840,101570,103398,105723
ualad19:West Suffolk,E07000245,176416,178991,179189,179703,178236,180813,182228
ualad19:Camden,E09000007,221024,218833,217915,217136,214768,210968,218049
ualad19:City of London,E09000001,7737,7877,8165,8765,8331,8689,10847
ualad19:Hackney,E09000012,264892,264834,266210,265825,263782,260082,261491
ualad19:Hammersmith and Fulham,E09000013,187472,187720,189037,188562,186555,183310,185238
ualad19:Haringey,E09000014,276262,274463,274240,273716,269534,264317,261811
ualad19:Islington,E09000019,220620,221535,221453,221994,221018,217050,220373
ualad19:Kensington and Chelsea,E09000020,152708,149651,148471,146805,144874,144266,146154
ualad19:Lambeth,E09000022,326613,327227,328923,329513,325527,317691,316812
ualad19:Lewisham,E09000023,298809,300924,303127,305906,304169,300013,298653
ualad19:Newham,E09000025,335337,338333,344570,349786,350025,351256,358645
ualad19:Southwark,E09000028,306720,307640,310492,312591,312055,306762,311913
ualad19:Tower Hamlets,E09000030,289011,293526,300050,305066,306780,312715,325789
ualad19:Wandsworth,E09000032,326413,329493,331069,334558,333678,328429,329035
ualad19:Westminster,E09000033,213193,210459,209868,208415,205624,205759,211365
ualad19:Barking and Dagenham,E09000002,211047,214017,216298,218828,219227,218714,219992
ualad19:Barnet,E09000003,382925,384117,387574,390590,391046,388955,389101
